# Common human typing errors
# Format: correct_word,typo_word
# Multiple typos per word are allowed (random selection)

# "the" variations
the,teh
the,hte
the,th

# "and" variations
and,adn
and,nad

# Common words - transposition errors
that,taht
that,htat
with,wiht
with,wtih
have,ahve
have,hvae
this,htis
this,tihs
from,form
from,fomr
they,tehy
they,htey
been,bene
been,eben
were,wer
were,weer
some,soe
some,soem
about,abuot
about,abotu
what,waht
what,wht
when,wehn
when,whn
your,yuor
your,yoru
just,jsut
just,juts
like,liek
like,lik
would,woudl
would,wuold
could,coudl
could,cuold
there,tehre
there,thier
their,thier
their,theri
which,whcih
which,wich
other,otehr
other,ohter
these,tehse
these,thees
because,becuase
because,becasue
through,thorugh
through,trhough
before,beofre
before,befroe
should,shuold
should,shoudl
people,poeple
people,peopel
where,wehre
where,wheer
really,realy
really,raelly
first,frist
first,fisrt
being,bieng
being,beinf
after,aftre
after,afetr
think,thnik
think,thnk
every,evrey
every,eveyr
still,sitll
still,stlil
also,aslo
also,laso
even,eevn
even,evne
much,mcuh
much,muhc
more,mroe
more,moer
most,msot
most,mots
only,olny
only,onyl
over,oevr
over,ovr
such,scuh
such,suhc
very,vrey
very,vrey
well,wlel
well,weel
work,wrok
work,owrk
know,knwo
know,konw
make,mkae
make,maek
take,tkae
take,taek
want,wnat
want,watn
come,ocme
come,cmoe
time,tiem
time,itme
good,godo
good,ogod
find,fnd
find,fidn
give,gvie
give,giev
many,manu
many,mnay
